,Process,Same Flavor,ratio_p_mc,ratio_p_da,ratio_13_8,ratio_ls_13_8,ratio_cross,ratio_diff
1,WW,26895,0.000928343032467,0.00111554869566,5.03746019854,2.72631774481,2.075,0.65131774481
2,DY,28627009,0.988127322756,1.1873888288,4.10425245267,2.22125750872,1.63,0.59125750872
3,Top,189345,0.00653567992127,0.00785363702472,13.8592446201,7.50074502792,3.4,4.10074502792
4,WZ,33266,0.00114825280974,0.00137980453281,5.18889408829,2.80827509723,3.35,-0.54172490277
5,ZZ,18485,0.000638052461616,0.000766719376809,2.66277729761,1.4411184825,1.16,0.2811184825
7,Total,28970972,1.0,1.20165569907,4.13286877091,2.23674491173,0.0,2.23674491173
8,DATA,24109212,0.832185126547,1.0,3.29718870943,1.78446751582,0.0,1.78446751582
